chart_type,category,best_use_case,visual_style,data_requirements,interactions,accessibility,examples_industries,limitations
line_chart,trend,show trends over time,continuous_line_smooth,continuous_time_series+numeric_values,hover_tooltip+zoom+pan,focus_mode+keyboard_navigation,finance/analytics/sales,not_for_categorical
area_chart,trend,show volume trends,filled_area_gradient,continuous_time_series+numeric_values,hover_tooltip+zoom,focus_mode+keyboard,finance/analytics/traffic,can_hide peaks
bar_chart,comparison,compare discrete categories,vertical_bars_uniform,categorical_data+numeric_values,hover_tooltip+sort+click,focus_mode+keyboard,marketing/sales/performance,space_limit_many_categories
horizontal_bar,comparison,compare categories with long labels,horizontal_bars_left_aligned,categorical_data+numeric_values,hover_tooltip+sort,focus_mode+keyboard,ranking/survey/performance,limited_height
grouped_bar,comparison,compare multiple groups,grouped_bars_side_by_side,categorical+grouped_data+numeric,hover_tooltip+legend,focus_mode+keyboard,performance_comparison,complex_many_groups
stacked_bar,composition,show composition changes,stacked_bars_cumulative,categorical+composition_data+numeric,hover_tooltip+drill_down,focus_mode+keyboard,sales_breakdown/market_share,hard_compare_totals
pie_chart,composition,show proportions,radial_slices_center_label,categorical+percentage_data,hover_tooltip+click_slice,focus_mode+keyboard,market_share/distribution,not_for_many_categories
donut_chart,composition,show proportions with center info,radial_slices_hollow_center,categorical+percentage_data+center_text,hover_tooltip+click_slice,focus_mode+keyboard,market_share/stats_center,not_for_many_categories
radial_bar,comparison,circular comparison,radial_bars_curved,categorical+numeric_values,hover_tooltip+animation,focus_mode+keyboard,performance_metrics,limited_space
scatter_plot,correlation,show relationships,dots_positioned,two_numeric_variables,hover_tooltip+brush+zoom,focus_mode+keyboard,analytics/correlation/science,overlapping_points
bubble_chart,correlation,show multi-variable relationships,dots_size_variable,three_numeric_variables,hover_tooltip+zoom+filter,focus_mode+keyboard,market_analysis/population,space_complex
heatmap,correlation,show data intensity,grid_color_intensity,matrix_data+numeric_values,hover_tooltip+zoom,focus_mode+keyboard,analytics/heatmap/matrix,legend_important
treemap,composition,hierarchical proportions,rectangles_nested,hierarchical+size+numeric,hover_tooltip+drill_down,focus_mode+keyboard,file_sizes/market_share,complex_hierarchy
sunburst,composition,hierarchical proportions circular,radial_nested_slices,hierarchical+size+numeric,hover_tooltip+click+drill,focus_mode+keyboard,market_share_hierarchy,complex_many_levels
gauge_chart,status,show progress/target,arc_progress_indicator,single_value+target_range,hover_tooltip+animation,focus_mode+keyboard,performance/progress/KPI,single_value_only
bullet_chart,status,show progress/target compact,bar_with_target_marker,single_value+target+ranges,hover_tooltip+comparison,focus_mode+keyboard,KPI/performance_dash,single_value_only
radar_chart,comparison,compare multiple metrics,polygon_radial_axes,multiple_metrics+categories,hover_tooltip+legend,focus_mode+keyboard,performance_comparison/skills,overlapping_complex
box_plot,distribution,show data distribution,box_whisker_median_outliers,distribution_data+outliers,hover_tooltip+zoom,focus_mode+keyboard,statistics/quality_control,requires_statistics
violin_plot,distribution,show distribution shape,curved_distribution_shape,distribution_data+shape,hover_tooltip+zoom,focus_mode+keyboard,statistics/biology,complex_interpretation
histogram,distribution,show frequency distribution,bar_bins_frequency,continuous_data+binned,hover_tooltip+bin_adjust,focus_mode+keyboard,statistics/analytics,bin_size_impact
waterfall_chart,composition,show cumulative changes,cascading_bars_positive_negative,cumulative_changes+categories,hover_tooltip+breakdown,focus_mode+keyboard,financial_changes,complex_many_steps
funnel_chart,process,show process stages decreasing,decreasing_stages_width,process_stages+numeric_values,hover_tooltip+percentage,focus_mode+keyboard,sales_funnel/conversion,only_processes
sankey_chart,flow,show flow relationships,flow_connections_width,flow_data+source+target+volume,hover_tooltip+drill,focus_mode+keyboard,energy_flow/money_flow,complex_many_flows
network_chart,relationship,show node relationships,connected_nodes_links,nodes+links+strength,hover_tooltip+zoom+filter,focus_mode+keyboard,social_network/dependencies,complex_many_nodes
calendar_heatmap,time,show intensity over time,grid_days_color,time_series+intensity_data,hover_tooltip+day_click,focus_mode+keyboard,activity_calendar/habit,only_time_series
sparkline,trend,mini trend in tables,mini_line_no_axes,time_series+numeric,hover_tooltip+inline,focus_mode+keyboard,dashboard_tables,limited_detail