ux_principle,category,description,implementation,hierarchy_level,wcag_level,impact_score
clear_hierarchy,information_design,establish visual importance through size/color/position,heading hierarchy+visual_weight+spacing,primary,AAA,9
accessible_forms,inclusive_design,labels+errors+focus states for all users,label_visibility+error_messages+focus_indicators,form,AA,8
consistent_navigation,usability,same nav structure across all screens,fixed_nav_patterns+predictable_locations,global,AA,7
feedback_systems,interaction_design,immediate visual feedback for actions,loading_states+success_errors+progress,interaction,AA,6
error_prevention,user_experience,prevent errors before they occur,validation+confirmation+undo_options,form,AA,7
mobile_optimization,responsive_design,optimize for touch and small screens,touch_targets+spacing+responsive_layout,viewport,AA,8
progressive_disclosure,cognitive_load,reveal complexity progressively,expandable_content+guided_tours+steps,information,AAA,5
sufficient_contrast,visual_accessibility,4.5:1 contrast for text,WCAG_contrast_check+color_pairs,visual,AA,9
touch_targets,mobile_accessibility,48px minimum touch size,min_height_width+spacing,interaction,AA,7
keyboard_navigation,accessibility,complete keyboard functionality,focus_management+shortcuts+tab_order,global,AAA,8
screen_reader_ready,accessibility,semantic HTML and ARIA labels,semantic_markup+aria_attributes+alt_text,content,AAA,7
color_independence,accessibility,information not dependent on color,text_labels+patterns+icons,visual,AA,6
motion_control,inclusive_design,user control over animations,pause_controls+reduce_motion_preferences,interaction,AAA,4
cognitive_simplification,cognitive_accessibility,simple language and clear instructions,plain_language+step_guidance+examples,content,AAA,7
task_completion,usability,clear paths to goal completion,defined_steps+progress_indicators+completion_states,workflow,AA,8
information_density,cognitive_load,balance content and whitespace,grouping+chunking+visual_breaks,content,AA,6
personalization,user_experience,adapt to user preferences,preferences+customization+adaptive_content,user,AAA,5
cross_platform_consistency,multi_device,similar experience across platforms,consistent_patterns+synced_state,global,AA,6
performance_optimization,technical_usability,fast load and response times,lazy_loading+caching+optimization,technical,AA,8
onboarding_flow,first_time_experience,guide new users effectively,tutorials+empty_states+progressive_features,onboarding,AA,7
cross_device_sync,multi_device,consistent experience across devices,sync_state+responsive_adapt+device_optimization,global,AA,6
error_recovery,error_handling,clear recovery paths from errors,error_messages+undo_actions+alternative_paths,error,AA,8
user_control,user_experience,give users control over actions,undo+cancel+confirmation_dialogs,interaction,AA,7
predictable_behavior,usability,consistent and expected behavior,predictable_responses+status_feedback+clear_states,global,AA,8
contextual_help,information_design,help available when needed,inline_help+tooltip+contextual_tips,content,AA,6
efficient_input,input_design,minimize user input effort,smart_defaults+autocomplete+suggestions,form,AA,7
flexible_paths,usability,multiple ways to complete tasks,alternative_paths+shortcuts+bulk_actions,workflow,AA,6
consistent_language,information_design,use consistent terminology,standard_terms+consistent_labels+glossary,content,AA,7
visual_feedback,interaction_design,immediate response to interaction,state_changes+hover+loading_indicators,interaction,AA,7
accessible_media,inclusive_design,make all media accessible,captions+transcripts+alternative_text,media,AAA,8
time_limits,inclusive_design,allow sufficient time for tasks,extended_time+pause+no_timeout,interaction,AAA,7
bypass_blocks,navigation,skip repetitive content blocks,skip_links+expand_collapse+hidden_sections,navigation,AAA,6
focus_visible,accessibility,visible focus indicators,focus_styles+outline+highlight,focus,AA,9
focus_order,accessibility,logical focus sequence,tab_order+focus_management+logical_flow,navigation,AAA,7
on_input,accessibility,context changes on request only,no_surprise_changes+user_control+confirmation,interaction,AAA,6
multiple_ways,navigation,at least two navigation methods,multiple_paths+search+menu+breadcrumbs,navigation,AAA,5
headings_labels,information_design,descriptive headings and labels,clear_titles+section_labels+descriptive_text,content,AA,7
reading_level,cognitive_accessibility,lower secondary education level,simple_language+glossary+explanations,content,AAA,6
pronunciation,cognitive_accessibility,clear pronunciation guidance,pronunciation_keys+phonetic+audio_guide,content,AAA,5
abbreviations,information_design,explain abbreviations,expansion_on_first_use+glossary+tooltip,content,AAA,4
consistent_id,information_design,consistent identification,consistent_labels+names+icons,content,AA,6
change_on_request,interaction_design,changes only on user request,no_auto_changes+confirmation+user_initiated,interaction,AAA,6
error_suggestion,error_handling,suggest error corrections,suggested_fixes+error_prevention+validation,error,AA,7
error_prevention_legal,error_handling,prevent serious errors,confirmation+review+legal_warnings,error,AAA,7
help_documentation,information_design,help and documentation available,help_pages+faq+documentation+contact,content,AA,6
audio_control,inclusive_design,user control over audio,volume_control+mute+audio_preferences,media,AA,5
no_flashing,inclusive_design,avoid flashing content,no_flash+safe_animation+threshold_check,visual,AAA,8
sensory_characteristics,information_design,not dependent on sensory alone,multiple_indicators+shape+size+position,content,AA,6
orientation,inclusive_design,support all orientations,landscape+portrait+orientation_lock,viewport,AA,5
reflow,visual_accessibility,content reflows without scrolling,reflow_layout+320px_width+horizontal_scroll,visual,AAA,7
non_text_contrast,visual_accessibility,contrast for non-text elements,ui_contrast+graphics_contrast+focus_contrast,visual,AA,7
text_spacing,visual_accessibility,adjustable text spacing,line_height+letter_spacing+word_spacing+paragraph,text,AA,5
content_on_hover_focus,interaction_design,content appears on hover/focus,persistent_content+dismissable+hoverable,interaction,AA,6
pointer_gestures,interaction_design,simple pointer gestures,single_pointer+no_complex_gestures+alternatives,interaction,AAA,6
pointer_cancellation,interaction_design,easy to cancel pointer actions,abort_actions+back+undo_pointer,interaction,AAA,7
label_in_name,accessibility,visible label in accessible name,name_match+label+accessible_name,form,AA,6
motion_actuated,interaction_design,alternative to motion input,no_motion_required+alternative_input+disable_motion,interaction,AAA,5
target_size_enhanced,visual_accessibility,enhanced target size,44px+spacing+enhanced_targets,interaction,AAA,6
concurrent_input,interaction_design,handle multiple input methods,multi_input+touch+keyboard+mouse,interaction,AAA,5
status_messages,status_design,announce status changes,status_alerts+aria_live+screen_reader_announce,status,AA,7
magnification,inclusive_design,support content magnification,zoom+scale+reflow+magnifier,viewport,AAA,6
contrast_enhanced,visual_accessibility,enhanced contrast ratios,7:1+4.5:1+enhanced_contrast,visual,AAA,8
spacing_enhanced,visual_accessibility,enhanced spacing options,enhanced_spacing+line_height+word_spacing,visual,AAA,5
graphics_contrast,visual_accessibility,contrast for graphics,graphics_3:1+charts+diagrams,visual,AAA,6
focus_appearance_enhanced,accessibility,enhanced focus indicators,enhanced_focus+outline_thickness+contrast,focus,AAA,7
focus_not_obscured,accessibility,focus not partially hidden,visible_focus+no_overlap+focus_visible,focus,AAA,6
focus_minimized,accessibility,minimize focus obscuring,minimize_obscuring+focus_visible+spacing,focus,AAA,5
sticky_content,interaction_design,sticky content visible,sticky_header+fixed_nav+persistent_ui,navigation,AAA,5
dragging,interaction_design,accessible dragging operations,drag_alternatives+keyboard_drag+pointer_drag,interaction,AAA,6
target_size_minimum,visual_accessibility,minimum target size,24px+minimum+spacing_targets,interaction,AA,7
sequential_focus_navigation,navigation,logical sequential focus,sequential_focus+logical_order+tab_sequence,navigation,AA,6
modal_dialogs,interaction_design,accessible modal dialogs,modal_focus+trap+close+escape,interaction,AA,7
disclosure_widgets,interaction_design,accessible disclosure widgets,disclosure_expanded+collapse+aria_expanded,interaction,AA,6
tabs_interfaces,interaction_design,accessible tabs,tabs_aria+role+selection+keyboard,tabs,AA,6
accordions,interaction_design,accessible accordions,accordion_expand+collapse+aria_expanded,interaction,AA,5
carousels,interaction_design,accessible carousels,carousel_controls+pause+slide+keyboard,carousel,AA,6
slideshows,interaction_design,accessible slideshows,slideshow_controls+navigation+pause,media,AA,6
dialogs_alerts,interaction_design,accessible dialogs and alerts,dialog_role+alert+aria+focus_management,dialog,AA,7
form_validation,form_design,accessible form validation,validation_messages+aria_invalid+error_suggestions,form,AA,8
autocomplete,form_design,accessible autocomplete,autocomplete_aria+values+selection,input,AA,6
search_filters,search_design,accessible search and filters,search_aria+filter_role+keyboard+clear,search,AA,6
sorting_reordering,interaction_design,accessible sorting and reordering,sort_keyboard+reorder+drag+aria,interaction,AA,6
expand_collapse,interaction_design,accessible expand collapse,expand_aria+collapse+keyboard+state,interaction,AA,5
menus_dropdowns,navigation,accessible menus and dropdowns,menu_aria+keyboard+focus+escape,menu,AA,7
buttons_links,interaction_design,accessible buttons and links,button_role+link_role+keyboard+focus,button,AA,7
image_buttons,interaction_design,accessible image buttons,image_button_alt+role+focus+keyboard,button,AA,6
icons_symbols,visual_design,accessible icons and symbols,icon_alt+aria_label+tooltip+description,icon,AA,6
charts_graphs,visual_design,accessible charts and graphs,chart_alt+aria+data_table+description,chart,AAA,7
data_tables,visual_design,accessible data tables,table_aria+headers+scope+caption,table,AAA,7
complex_images,visual_design,accessible complex images,long_desc+aria+text_alternative+description,image,AAA,6
infographics,visual_design,accessible infographics,infographic_alt+text_version+data_table,image,AAA,6
maps_visualizations,visual_design,accessible maps,map_alt+aria+data_table+keyboard_navigation,map,AAA,6
video_audio,media_design,accessible video and audio,captions+transcripts+audio_description+controls,media,AAA,8
animations,interaction_design,accessible animations,animation_pause+keyboard+motion_safe+reduce_motion,animation,AA,6
transitions,interaction_design,accessible transitions,transition_safe+timing+motion_preference+keyboard,transition,AA,5
scrolling_content,interaction_design,accessible scrolling,scroll_keyboard+focus+content+navigation,scroll,AA,6
dynamic_content,interaction_design,accessible dynamic content,dynamic_aria+live+announce+status,content,AA,7
live_regions,status_design,accessible live regions,aria_live+polite+assertive+status_updates,status,AA,7
timeout_warnings,interaction_design,timeout warning and extension,timeout_warning+extend+cancel+notification,interaction,AAA,6
session_management,security,accessible session management,session_timeout+warning+extension+security,security,AA,6
authentication,security,accessible authentication,auth_alternatives+captcha_alternatives+password_help,security,AA,7
captcha_alternatives,inclusive_design,accessible captcha alternatives,captcha_alternatives+logic+puzzles+audio,security,AAA,6
privacy_controls,user_experience,accessible privacy controls,privacy_settings+cookies+data_control+gdpr,privacy,AA,7
language_selection,inclusive_design,accessible language selection,language_selector+keyboard+aria+default,navigation,AA,6
font_selection,inclusive_design,accessible font selection,font_selector+keyboard+aria+size_preference,text,AA,5
color_selection,inclusive_design,accessible color selection,color_selector+keyboard+aria+contrast_check,color,AA,5
theme_selection,inclusive_design,accessible theme selection,theme_selector+keyboard+aria+light+dark,theme,AA,6
layout_selection,inclusive_design,accessible layout selection,layout_selector+keyboard+aria+responsive,layout,AA,5
zoom_selection,inclusive_design,accessible zoom selection,zoom_selector+keyboard+aria+scale,zoom,AA,5
sound_selection,inclusive_design,accessible sound selection,sound_selector+keyboard+aria+volume+mute,sound,AA,5
notification_controls,status_design,accessible notification controls,notification_settings+disable+keyboard+preferences,notification,AA,6
download_controls,interaction_design,accessible download controls,download_button+keyboard+progress+cancel,download,AA,6
print_controls,interaction_design,accessible print controls,print_button+keyboard+format+options,print,AA,5
share_controls,interaction_design,accessible share controls,share_button+keyboard+aria+social,share,AA,6
save_controls,interaction_design,accessible save controls,save_button+keyboard+status+confirmation,save,AA,6
undo_controls,interaction_design,accessible undo controls,undo_button+keyboard+history+confirmation,undo,AA,7
cancel_controls,interaction_design,accessible cancel controls,cancel_button+keyboard+confirmation+escape,cancel,AA,7
delete_controls,interaction_design,accessible delete controls,delete_button+keyboard+confirmation+warning,delete,AA,8
edit_controls,interaction_design,accessible edit controls,edit_button+keyboard+mode+save_cancel,edit,AA,7
view_controls,navigation,accessible view controls,view_button+keyboard+mode+aria,view,AA,6
navigation_controls,navigation,accessible navigation controls,nav_buttons+keyboard+arrows+home_end,navigation,AA,7
pagination,navigation,accessible pagination,pagination_aria+keyboard+numbers+current,pagination,AA,6
breadcrumbs,navigation,accessible breadcrumbs,breadcrumbs_aria+separator+current+link,breadcrumb,AA,6
sitemaps,navigation,accessible sitemaps,sitemap_aria+structure+navigation+keyboard,sitemap,AA,5
search_results,search_design,accessible search results,results_aria+number+keyboard+navigation,search,AA,7
filter_results,search_design,accessible filter results,filter_aria+keyboard+active+clear,filter,AA,6
sort_results,search_design,accessible sort results,sort_aria+keyboard+options+current,sort,AA,6
compare_results,search_design,accessible compare results,compare_aria+keyboard+selection+remove,compare,AA,6